,AVGO,BR,ADP,BLK,ADSK,AIZ,ADBE,ACN,CTLT,AWK,CDW,AKAM,AZO,AVY,AMZN,ALL,AME,ALLE,CHRW,ARE,CBRE,AXP,CVX,AEE,BSX,ABBV,BXP,BALL,CBOE,ATO,AES,BDX,AMAT,APA,AFL,AMD,CNP,ACGL,A,CZR,CDNS,CAT,AEP,AJG,BRO,AMCR,CPB,ADM,CAH,BBWI,ABC,CHD,APH,BAC,CE,BWA,BMY,BEN,AIG,AAP,BKR,ABT,CI,CF,AOS,AAPL,CRL,APTV,COF,AAL,ALB,BBY,CB,AMP,CCL,BK,CPT,BAX,CNC,ALK,ANET,ATVI,CDAY,AVB,AMT,APD,AON,ADI,ANSS,CMG,BA,ALGN,AMGN,CHTR,BIO,BIIB,BKNG
Start price,282.3229675292969,116.71345520019531,159.3945770263672,464.0089111328125,183.4600067138672,123.27186584472656,329.80999755859375,201.1348114013672,56.29999923706055,116.71756744384766,137.634033203125,86.37999725341797,1191.31005859375,124.16239166259766,92.39199829101562,103.68204498291016,97.53724670410156,119.7249755859375,72.2735366821289,149.01681518554688,61.290000915527344,118.93695831298828,103.68336486816406,70.4959945678711,45.220001220703125,76.32805633544922,121.60420989990234,62.69093322753906,120.0,103.2330093383789,18.148488998413086,253.7534637451172,59.114540100097656,24.5004825592041,48.66481018066406,45.86000061035156,24.9401912689209,42.88999938964844,83.6180648803711,59.63999938964844,69.36000061035156,136.5513458251953,84.63114166259766,91.02647399902344,38.539100646972656,9.479087829589844,44.7249641418457,42.723838806152344,45.49524688720703,14.022037506103516,81.00418090820312,67.67857360839844,52.347721099853516,32.67461013793945,114.53795623779297,41.083126068115234,58.07993698120117,22.69687843322754,46.640132904052734,151.0501708984375,23.071720123291016,82.44715118408203,196.7236785888672,43.982200622558594,44.81760025024414,71.81092834472656,152.75999450683594,94.72907257080078,97.29849243164062,28.574403762817383,70.65243530273438,78.81059265136719,146.0665283203125,156.2079315185547,50.243595123291016,45.640869140625,97.02214050292969,79.56672668457031,62.869998931884766,67.36795043945312,50.849998474121094,58.40017318725586,67.87999725341797,189.0692138671875,215.52317810058594,219.4827117919922,202.87628173828125,111.88095092773438,257.4100036621094,837.1099853515625,323.83331298828125,279.0400085449219,218.65103149414062,485.0799865722656,370.0299987792969,296.7300109863281,2053.72998046875
Exspected price,645.9415160881977,262.7932476474206,252.25573220383748,551.5543096134408,264.0502176778754,190.50654816798732,381.32813383556874,251.79017566163387,104.5561630903956,161.4357963860307,181.565994960547,129.58073342555454,1233.9832181301756,166.28054520118488,129.23023990841875,135.97356168881012,118.91037872412431,140.18595624639227,91.76155269271217,168.42081297030936,79.03191920829228,135.124424097432,119.13617309849741,83.90583018543117,54.73809497126688,83.79973103270078,128.8973175460177,68.68066166343846,124.99144456452439,107.3237170034516,21.77666312326302,257.29243868685904,61.90575731146208,26.974191833342335,50.30286137067569,47.35777001844335,26.403975141568793,44.33084460941879,84.89767648454206,59.45214267291545,68.59428862278556,135.69308003597914,83.20516303763361,89.14796273230323,36.47776747096353,7.100150909160893,41.95056957699796,37.6177877017949,40.139069506042254,7.323169351592506,74.09411785577775,59.924524864030225,44.57982751659288,24.811569754184394,106.56838333093043,32.49018269083759,48.48102191131995,12.94640492209882,36.534640892920024,140.7532390706205,10.400220928190242,69.65849838451139,183.5820321509887,29.78968906723729,30.16891345905754,56.28617952995591,137.09269714865644,79.00614831650616,79.74648435823742,10.253477863264356,51.77968949735412,59.42289267016979,126.21902545912977,136.21230239254564,30.059507774526047,25.29677857944356,72.9897458117428,54.01480755724967,37.1905270152506,39.664574469256785,22.552095573864378,24.123239791592322,32.82310151055265,149.49876308287773,168.5965260121561,171.97560405030927,149.56519992763057,35.7036013866633,167.3562191682885,744.5260347919389,209.4969187586273,164.30922425381462,90.61383926548459,314.20089330678087,179.42593594659047,93.90693705326538,1023.5866040241078
Profit,363.6185485589008,146.07979244722532,92.8611551774703,87.54539848062825,80.59021096400824,67.23468232326076,51.518136276974985,50.65536426026668,48.25616385333505,44.71822894218303,43.93196175742199,43.20073617213657,42.6731595364256,42.11815353858722,36.83824161740313,32.291516705899966,21.37313202002275,20.460980660454766,19.488016010583266,19.40399778476248,17.741918292764936,16.18746578444373,15.452808230333346,13.409835617560077,9.518093750563757,7.471674697251558,7.293107646115345,5.989728435899394,4.991444564524386,4.090707665072699,3.6281741248499344,3.5389749417418557,2.791217211364426,2.4737092741382334,1.6380511900116304,1.4977694080917843,1.4637838726478947,1.4408452197703525,1.2796116041709666,-0.18785671673298765,-0.7657119875660072,-0.8582657892161762,-1.4259786249640456,-1.87851126672021,-2.0613331760091285,-2.3789369204289503,-2.7743945648477464,-5.106051104357441,-5.356177381164777,-6.698868154511009,-6.910063052425372,-7.7540487443682125,-7.767893583260637,-7.8630403837550595,-7.969572906862538,-8.592943377277642,-9.598915069881222,-9.75047351112872,-10.10549201113271,-10.29693182781699,-12.671499195100774,-12.788652799570642,-13.141646437878478,-14.192511555321303,-14.648686791186602,-15.524748814770653,-15.667297358179496,-15.722924254294625,-17.5520080734032,-18.320925899553025,-18.872745805380255,-19.3876999811974,-19.847502861182733,-19.99562912600905,-20.18408734876497,-20.34409056118144,-24.032394691186894,-25.551919127320645,-25.679471916634164,-27.70337597019634,-28.297902900256716,-34.276933395663534,-35.05689574286532,-39.57045078430977,-46.92665208842985,-47.507107741682916,-53.31108181065068,-76.17734954107107,-90.05378449382087,-92.58395055962364,-114.33639422965396,-114.73078429110726,-128.03719222865604,-170.87909326548476,-190.6040628327064,-202.82307393306274,-1030.1433764446422
